rownum,id,user,text
141,2000466240,nicollaborate,i missed the latin jazz festival fuck my liiiiife 
142,1834008504,AngeloCruz,Just got done watching Kung Fu Hustle and hanging out with @DaveSormillo  misses Spring Camp wish it was longer..=/
143,2002172995,simontay78,@maynaseric @serenetan most likely french lah 
144,2185102062,KlaauAndrea,"you're the light ..of this place... you're my life, my reason, my other middle   "
145,2063522017,oritsuru,@natalietran I love your videos! I used to be a little anti VLOG but you've converted me  you should do one about Scotland!
146,1881946814,mp3mad,#FollowFriday @rachelcaine is a supremely talented writer whose books &amp; Tweets are addictive reading &amp; leave you wanting ever more 
147,2323948488,ItsNIKKIsWorld,@ugottaluvruggz on my way 2 canada   .. Well damn near here
148,1973570670,xmeganreneex,@alexWTrugs voted 
149,2063965350,lindylk,It just hit me...I only have 4 mths more 
150,2049913738,keltaladida,jjoooooooooooo.....got one 
151,1988705687,kiminman,@LaurenConrad that sucks 
152,2205435908,KurdtKobain1994,had way to much 2 drink last night  not good people not good
153,2187389951,Chrystal171,@convexoz No! the I gotta feeling song! It's awesome. 
154,2014431924,thesummersnow,@MrPaulEvans That's true. Somebody hurry up and make a cure for #Twittsomnia 
155,2176710819,brendadada,"@redmamba or um, maybe it would be okay. Depends on how well you get on, I guess. "
156,2323757213,stephjfoster,@jar0n but it's got Cameron Diaz in it 
157,2174776441,MiDesfileNegro,@ariannaxmychem *huggles Arianna in a giant super-hug back* how have you been? I've missed you 
158,2054612940,DeannaRod,outside Stepinac taking pictures and stuff 
159,2013884374,gschan,Just got back home. Was going to have the car registered but as luck would have it power went out at the LTO office right when I arrived. 
160,2295655953,syeh3,@gregbehrendt nooo  I got so many tho That sucks I finished the boook and now I'm Confused lol cuz my parents hate bf 
161,2058319655,SexiiPrMami85,Grr annoyed  Can my hubby get any dumber? I mean seriously just dumb as a door knob!
162,2001702795,SallytheShizzle,@flyyywithme LOL  &lt;33
163,1882155205,KelciRenae,Last full day at UNH 
164,2005143600,azngrlkeiko,one year since my surgery and still more surgery to come 
165,1550820207,enzopilarta,"@IsabellaSky Am I that antisocial? ) I actually had this for ages, but I left it, then I'm back! "
166,1979312273,Goobian,I'm watching @volnessj sleep.  No don't be offended!  He wants us to watch him sleep 
167,1960397566,schmanders11,Fridayyy  class and work then out with schmilerz!
168,1967948893,flordemaria1,raining in the Hamptons.  
169,1551618390,angelic22,Why is it I feel unwell at the weekend when the sun is shining? 
170,1990937412,DarkPiano,"@SheilaUlrich Hello and good morning, Sheila! "
171,1989710833,lazygiraffe,found my earrings in this very nice treasury http://bit.ly/OcMsw  
172,1827586525,jusjamwithrubey,is scoffin ferrero rochers whilst revising for her biochemistry exam 2moro 
173,1556334405,walkitwalkit,"I just broke my camera. Bye, old friend "
174,1686709078,mkdragoness,"@studio6or7 Made a comment on your blog, but I love it! As I said... the book died for a good cause. "
175,2244232691,proudVAGowner,Leighton Meester from Gossip Girls has a sex tape out &amp; there is a flood watch for all of NYC... today has not been a good day 
176,2178621431,thoughtsofme,waiting for the sun to come out a little more so i can grab a book and catch some rays 
177,2063557619,raranana,@carrieaway yummy. enjoy  you talking about your parents?
178,1968793469,patriciaaro,"i'll be off for a while. gonna enjoy the... rainy day?? wth. anyway, ttyl! "
179,1751489550,SniperLoc,2Day weny by so slo0o. . .N onCe again i EnD it. . .MaDD!!!!! &gt;= 
180,1696045652,ijoslyn,lowkey tired yet still energetic ! 
181,1983240408,EpicCupcakeDude,"cant get jason mraz's song 'make it mine' out of her head, his album ftw  x"
182,1970335439,SparklyPixie,my hot water is so hot that I've just burnt two fingers while washing makeup brushes 
183,1694311409,sabihkhan,"@muscati nope difference of 5 OMR for C class, anyone notice the flight number for WY's flight for LHR? WY-911 "
184,2017959378,popstat,@ibidibid by all means aim for the shoes 
185,2064729243,emjumba,"@AndrewBravener thats definitelyÂ NOT my hand writing.Â i didn't write it, or put it under your door or anything "
186,2203946110,Arijit_G,"India, Bangladesh, Australia, New Zealand &amp; England all are out of T-20 Cricket World Cup now! So sad  South Africa, West Indies, Sri ..."
187,2050667493,dr4eva,does not feel like friday night 
188,2001496798,NaughtyLilly,WatcHn a Movie ÃoutTa Dose Off.... Evry1 Have a greaT Nite 
189,2201220373,kaos527,@tish_tish we are in Barstow 
190,2046376977,MSCinema,Scouting alternate location for the Child Protective Service office. The hospital didn't approve of our film's content... child murdering 
191,2047433325,LADollz,"@TiFFDiLL awww  oh well, you will def be there in spirit. While Im talkin, I hope my butt can make it to GUMBO. LOL"
192,2062143860,kielovesday26,@SophiaF3F3 lmao I kno I would be right along with them but no lean for me tonight 
193,2185014427,jmans,@J_Enders Yeah I used Copilot before from your recommendation and it worked really well thanks...but Skype now has it free 
194,1975376950,VioletsCRUK,@Glasgowlassy LMAO what is it??? 
195,2060979639,irishprincess41,@jimithing_41 it worked the last 2 games! damnit! 
196,1978896393,tehnakki,@ChelseaG83 oh no! that's horrible  is it popped back into place?
197,2014568235,DalekGirl93,Project Natal! OMGosh! Its gonna be awesome! But its gonna be at least Â£1000!  I want one now! 
198,2064273821,Ryan_McCrillis,"wow, it got to 55 degrees last night. Unseasonably cold for TN. So much for Global Warming! "
199,1573562865,CynthiaY29,Goodnight 
200,2063293094,liyutamiru,NEW MOON TRAILER. what the hell is up with Jackson's hair? I don't like it  x
201,1962646860,nicolalalalala,@abacab1975 I'm VERY good thankyou!! 
202,2063198810,gisellenguyen,@megsandbacon Hahaha is this your epic atheist grandpa who sent me a long long email about it for my article last year? 
203,2259787395,slammalee,Hayley Williams from Paramore def lost her voice 2/3 of the way through  poor girl! Gwen will make it better!
204,1985876041,Danielle_20,watching the MTV Moooovie Awards! 
205,1978266182,LorrisaClark,"about to take a nice warm bath, and contemplate deleting my twitter "
206,1990952104,SoulIsTheGoal,"terminators are now properly done up, they look much better "
207,2045413870,twloha_sophia,@yelyahwilliams who is coraline by?? Have fun in ATL 
208,1996438857,FilmLadd,"Well, I appreciate the hug  @entreprediva"
209,1993412224,kitsieduncan,http://twitpic.com/6esry - check out time 
210,2061603755,ihuntmidgets,@SocialEbonics lol is that right? whose been telling my secrets 
211,1982434289,JamiexLynn,Thank GOD I fixed the problemmmm!!!!! 
212,1971233163,Frekydelic,"My parents sold my old Woody doll.  It was worn out, one of his hands were busted.. BUT WHY??  My dad said he went to toy heaven.. lol"
213,2047343181,Kimmy_Cheyenne,@TickleMeJoey YES AIR CONDITIONING!  i has to be 
214,1982097461,smaldor,@StevenJiba going to SO to see it? i still need to see it 
215,1973400421,KelseyLynnMusic,"@Kimmy_Cheyenne i've never had red bull. monster's better  haha but yes, i'll need a loooooot of energy."
216,1972812847,freshapplejuice,The only thing thats really missing with the iPhone is worldwide support that &quot;just works&quot;... especially in italy! 
217,2174835800,mistahweirdx,is new to twitter 
218,2016640279,jaybranch,@ejf11 I won't tell a soul.........  
219,1965260641,BrainChildOfGod,@desertrat0073 Thanx for the  #followfriday ! 
220,1969802101,jamesgerald,"@nightwing24 Good luck w/ the MA, dude! "
221,2262805552,nyethewizkid,@apuje atleast you having fun tonite homie 
222,1557071088,iamgreg23,sad sad sad. . . Missed you already.. 
223,2048284826,katieson,http://twitpic.com/6p53f - Me and Brittany Walker 
224,2018978833,Ifthecrownf1ts,is starting work the 11th and offically starting my 40 hours a week the 15th..... yay!! its gonna be exhausting 
225,1831960863,alexhairking,"Gonna watch doubt on my cable,hope its good "
226,1982874201,leerosher,@esthersausages  poor bird...at least you tried!
227,2209910042,wookiejedi,@JamesNaughton if only it made the iPhone bigger on the inside than out 
228,1974001739,anomdesign,Time to clean up the house. Lazy weekend. 
229,2254646875,BLaCkitaLiaNa7,@L_A_LuvErGyrL sup fool...no wendover for us 2nite 
230,1677793870,Azzmuhtazz,@leightonmarissa thanks for sharing a bit of your personal life with your fans. Keeping your life private is so important. God Bless You. 
231,1977389183,__LordXenu,"Just finished washing my face while texting my loves and jammin to slow tunes by britney spears, a skylit drive and demon hunter "
232,1676481515,morganpayne,I want someone to send me an Edible Arrangement 
233,1468886141,makonja,off to lunch. on today's menu sanwich from minutka 
234,1880258115,stacyduhh,@biancaduhh WOW im SOO HAPPY for you Bianca i know how much you wanted him to reply to you 
235,2206237635,KristennCHAOS,Trying not to think of what I'm missing tonight to keep from getting really upset 
236,2186697552,Hollywood_MissT,@stillmatic1 i will just like u fixed my ltop  luv u TOO- that was for @every1lovesivy tee hee
237,1557063069,HannahTheresa,Urgh moaning at ma as she woke me up early again  so tired but tellison were fantastic  I wish alex was there though.
238,2008178093,dogzero,"@Rich_Ronchetti Hi Richard, @Banksyart is now at @Banksyart2 - has been posting there since having probs with his @Banksyart account. "
239,2228129013,butterflyshay29,"trying to get rid of a headache...It is 108 degrees here, ewwwww "
240,1693995098,Rassilon8374,I got whooped by Jason Bradbury. Ace :0 
241,2190472343,JessMarieM,Yeaa I don't know  I feel like shit
242,2188867305,Zusterke,@mattycus PM! Sorry about that mistake  It should work now.
243,1557659446,jathompson,Last swim lesson for this session... So sad 
244,2259988496,kateybella,@littleBrittan i have a jealousy problem too. 
245,2191031611,topanopyopa,"showering! jennas later, then woods for the morning, and studying with dawn later! math exam tomorrow "
246,2002034113,speshtian,"@whosChrisHughes Finally got time to view the vids, they are helpful indeed! Can't wait to get more practice in "
247,2062158364,daemonza,"No mtb ride for me today, my achillis tendon is on fire again "
248,1964172784,SimonaSpeaks,@PlayMyShhh Thanks!!! 
249,2051364374,itsmemcee,@omgitschelsea aww thanks girl 
250,1755773442,jornjambers,@dP_spot he's new  so he is figuring out what to say. 
251,2052864370,A_Martinez0110,Oh please someone make me breath out of my nose again. PLEASE. 
252,2007467691,stice09,no more high school. 
253,1880306894,ZeeOfficial,@WitFrontlynaz Amen bruh!  We got this in the bag!
254,2062723699,ealopez826,I am in a fantastic mood. yes i am 
255,2057455901,Brittneyondich,Grad party and then a soriee. I wish I was at BFD 
256,1692714913,cjfussner,watching the tivo'd survivor from last week....sad that tyson is gone  he was hilarious
257,1975646351,Snyper912,"is sitting on the porch, drinking a Heiney, reading a book (From Good to Great--Collins).  Life is good. "
258,2053672773,Elsouille,@FeliFromHell hey thanks again for your drumsticks in Paris haha  have a nice day and a good trip a Japan ! KÃ¼sse
259,2059281048,clareditum,never be good enough 
260,2054201043,epicalx,My wonderful got me my Pre! At home sick 
261,2048243348,CarloBeecroft,"@donotrefreeze, yeah I was 17 in january still  next year though! and I know, gutted at Carradine! but at least he went out in a sexy way!"
262,2068394679,caraa_x3,I think they both deserved it I think for this task Kate deserved it but for all round yasmina did 
263,1933005694,chelseyann226,@ZDAEfron you're amazing 
264,2185488957,mikepgamer,I'm getting pretty good at COD4 multiplayer.  I even won a match. 
265,1694696748,loriz1525,hates gettin up so damn early.    NOT a MORNING person.
266,1565166005,michaeljonf,Now I'm teaching @ctw71 how to Tweet 
267,2047698517,iizsam,"yo, @mauramalade! i need &quot;this time around&quot; and &quot;snowed in.&quot;  you love me, send it my way!"
268,1964707952,Kaprice7,@19sensational08 Ohhhh shizzle!! LoL Well ur still living! 
269,1956662400,Matryoshkavegan,Wanted to go to the vegan fest in bristol this weekend? But i'm way too poor 
270,2184920912,hansfredrik,@StineMariell Wise man!  ... had to try! ;-)
271,1993622897,ktblueyes18,"@AnaCary I've always been a bug magnet, unfort. "
272,2189036966,jyothiss,@ProPixStream 
273,2234637691,rdk389,Just received news that the ac in the house is broke and it probably won't be fixed for awhile. That on top of the internet and cable... 
274,1994956378,pay4this,@Redanimals - Smartphone &quot;shootout&quot; by CRN review here- you don't have to take my luv 4 #iPhone anecdotal word 4 it  http://bit.ly/6YFnj
275,1793958087,LarisaBelliveau,@wisdompathart Good Morning! @SoulReader @Secret_Aura @samanthagreen @LarisaBelliveau @NatureSpirits @Marge_Inovera - my twtr favorites 
276,1989427536,thricia,@delamarRX931  i had fun listening to your morning rush earlier... .. remember the &quot;anus of a chicken&quot; ????? lol 
277,2211596841,girl_foo,"@SCIFI_channel hopefully, have to wait and see if I have control of the tv, doubt it "
278,2060908867,nickondras,Just downloaded FireFox. So far it's WAY better than Safari 
279,1753919999,Poolieboy,One good thing about Germany is the Beer ... Say no more 
280,1992448985,mellieweena,"@soileronthetea i knowwwwwwwwww, its very terrifying. "
281,1979809095,roobies,my mom can be such a weirdo sometimes 
282,2189750108,superwife,@darrenf I also tried bing in the downtime and left unfulfilled 
283,1696045408,wewhit,@calebhawk i cannot deal w/ this tweet. lol. 
284,1693088622,oneloveDOTTIE,Going home now. Work was fun.  i have SAT off. Lets party.  -Dottie&lt;3
285,1989942632,Mehmi,@Ajillas  come over here?
286,2174394834,peacejoyloveee,"DAMN, i love ENTOURAGE. "
287,2002789374,Iqaizsm,okay tweeties ! imma go off now (: pray that tmr wouldnt be raining but it would be coldddddd &amp; windddyyyy ! bye 
288,1753743118,kevinapple,"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake. "
289,1694313049,BekahBull,can't believe i just spent $45 on maple syrup...it's expensive in China. Fucking imported goods 
290,2061267793,THEquickpixie,"@nqr Aw, thank you, honey.  But for once it isn't me.    It's a community I'm in that we're all watching.  Thank you for your concern, tho"
291,2001567612,Olijah_Angel,sometimes my eyes glow.  like an angel.
292,1685367512,MissInspired,@RealLamarOdom Go Pacquiao!  Hope you were rooting for him LO.  I'll still root for you regardless. Love ya! http://tinyurl.com/d3r264
293,2200165016,kimbaslase,i got ditched today kids. someone come play with me 
294,1980411389,KarenStL,"@n3bu1a nope, don't need gps. I can find anything "
295,2203376693,notsoaveragejoe,Listening to: Friends Forever( Graduation Song)- Vitamin C 
296,2300058018,elliotkaye,"Hopefully Maynard and Billy will work together again, but it's not looking too likely  â« http://blip.fm/~8r93w"
297,2189986655,vanes,"@njpbennett i do think so, the search result on tweetie only gets one twit, i have to click on 'more' but it only gives me 1 twit/click "
298,2061215575,KellyJeanFRS,Sitting at Yogi's enjoying good company 
299,2008964706,HarlequinBooks,@dd03 I think she did signings in Washington earlier earlier last month -- sorry we missed tweeting them for you!  ~Amy
300,2183895032,monroe_melissa,"Looking at lyrics For Combat Wombat.  Do you believe in grasshoppers? yea, i tend to thank narcolepsy like a cocktail charade ."
301,1690760057,gigglegirly3,doing absolutely nothing... is what i do BEST!!! 
302,2179180692,MsLatina,"System down can't receive tweets  but rem. &quot;Do all the good you can, in all the ways you can, as long as ever you can.&quot; - John Wesley"
303,2050209293,johnneebee,@movistar26 the woman of my dreams maybe 
304,1968183635,crazy_mary87,move in dayyyyyyyyyy!!!!!! too bad i wont have internet for the weekend 
305,2175696208,JessSketchleyGK,Back from holiday - DOH! 
306,2066390716,laurenICON,@nickirichards stop teasing.. i want 2 hear U sing miss niki... please 
307,2266285479,claudlim,hates one degree burn. Bad 
308,1964738672,dnajd,"@kristenmchugh22 Oh, I'm so sorry!...my kitty is there right now being checked...losing lots of weight over last 3 wks. Not good "
309,2228270196,GooseGatherer,"Moving in 10 days - I hate moving, stuff gets broken "
310,2265636438,alexlobov,@naseemfaqihi me toooooooooooooooo  bas 3ndi red bull 
311,1974952519,marybug2008,Your mean. 
312,1984293194,jonbateman,@GreatRock I was contemplating that today... must be the sun and dust 
313,1880046913,cinDysLicK,@hitwithabrick that sounds delicious!  haven't seen any taco bells here.   nor chipotle.  me wantsa a burrito treatzzzz!
314,1977886053,sweeetnspicy,"Noooo, my sister came home from her award thing "
315,2058364165,OKchrista,"Awesome day! Networking, working out and working in the yard! This is what I actually call &quot;relaxation&quot;  #fb"
316,2263110722,iliana19,Man it sux that my teeth are missing 
317,1984088280,alllizzz,Yay just made my driving appointment 
